Manager,Institution,Country,Vehicle,Amount (US$m),Year,Evidence type,In the 353-name universe,Universe name,Universe tier,Universe priority (1-5),Universe decision-maker,Universe consultant,Source,Read on
Aberdeen (abrdn) Private Equity - the FLAG Squadron Asia programme,Greater Manchester Pension Fund,United Kingdom,"Squadron Asia Pacific Fund II. Reported as one of three named limited partners in the fund. Database record, not a primary document; confirm before putting it on a client slide.",,2009,Preqin or Dakota,Yes,Greater Manchester Pension Fund,2,3,,Not established from a public source in this pass.,https://pitchbook.com/profiles/fund/12640-78F,2026-09-19
Aberdeen (abrdn) Private Equity - the FLAG Squadron Asia programme,Keva,Finland,"Keva Squadron Emerging Asia Fund I, a USD 150m dedicated Asia separate account for small and mid-sized private-equity funds in China, India and Southeast Asia",150,2011,trade press,Yes,Keva,1,5,Maaria Kettunen ; Markus Pauli ; Tapio Olhava ; Ari Huotari,"LGT Capital Partners (Crown-branded SMAs), Squadron Capital (historic Asia SMA)",https://www.theasset.com/article/19794/finnish-pension-taps-squadron-capital-for-emerging-asia-investments,2026-09-19
Aberdeen (abrdn) Private Equity - the FLAG Squadron Asia programme,Teacher Retirement System of Texas,United States,not named in source. Reported as a USD 100m commitment to Squadron Capital's second fund-of-funds at the time of its launch. Secondary source; confirm from the TRS commitment schedule before use.,100,2009,trade press,Yes,Teacher Retirement System of Texas (TRS Texas),1,5,,,https://www.proquest.com/openview/aef6bee0c99ad404dc3d186e8217164d/1?pq-origsite=gscholar&cbl=40214,2026-09-19
Aberdeen (abrdn) Private Equity - the FLAG Squadron Asia programme,West Yorkshire Pension Fund (Northern LGPS),United Kingdom,"Aberdeen Asia Pacific III Ex-Co-Investment. USD 10,000,000 commitment, USD 9,614,633 cumulative contributions, USD 13,666,189 cumulative distributions, ending adjusted valuation USD 44,736.",10,2026,public holdings schedule,Yes,West Yorkshire Pension Fund (Northern LGPS),2,4,Simon Edwards ; John Dewey ; Euan Miller ; Darran Ward ; Councillor Andrew Thornton,"no manager-selection gatekeeper found, and WYPF is the least likely of the three to use one - it runs 20-plus investment staff internally in Bradford and manages much of the fund itself. The real screen is NPEP, where the three partner funds' internal teams select together; Councillor Andrew Thornton chairs the Joint Advisory Group and Investment Advisory Panel that oversees it.",https://www.wypf.org.uk/media/qj4eqe5b/private-equity-portfolio-quarterly-transactions-q1-2026.xlsx,2026-09-19
Adams Street Partners,British Columbia Investment Management Corporation (BCI),Canada,Adams Street Partners 2008 Non-US Fund LP,,2017,public holdings schedule,Yes,British Columbia Investment Management Corporation,3,2,,Not applicable — BCI invests in-house.,https://www.bci.ca/wp-content/uploads/2018/02/investmentinventory2017-privateequity.pdf,2026-09-19
Adams Street Partners,Cambridgeshire Pension Fund,United Kingdom,not named in source,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2026/03/Cambridgeshire-2425-final.pdf,2026-09-19
Adams Street Partners,London Borough of Enfield Pension Fund,United Kingdom,not named in source,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Enfield2425_draft.pdf,2026-09-19
Adams Street Partners,Railways Pension Scheme / Railpen,United Kingdom,not named in source,,2025,annual report,Yes,Railpen,2,2,,,https://cdn3.railpen.com/mp-sitefinity-prod/docs/default-source/report-accounts/report-accounts-2025.pdf,2026-09-18
Adams Street Partners,Royal County of Berkshire Pension Fund,United Kingdom,not named in source,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Berkshire2425_draft.pdf,2026-09-19
Adams Street Partners,Wespath Benefits and Investments,United States,not named in source,,2026,public holdings schedule,Yes,Wespath Benefits and Investments (United Methodist),3,3,"Johara Farhadieh ; Amy Bulger ; Frank Holsteen ; Piotr Chwala ; Rashed Khan, CFA","None - Wespath is its own manager-selection shop, with a named Director of Private Markets, a Manager of Private Markets, a Director of Investment Research chairing the asset allocation committee, and a published manager roster. There is no third-party gatekeeper. The functional gatekeepers are the incumbent fund-of-funds managers, Adams Street and HarbourVest, who already occupy the seat Seviora PavCap would need.",https://www.wespath.org/retirement-investments/investment-information/asset-managers,2026-09-18
