Institution,Name,Slide claim,Verdict,As of,Source,What the source says,Suggested correction
Virginia Retirement System,Andrew Junkin,Andrew Junkin is CIO. Joined January 2023. Before that 2 years as CIO of Rhode Island and 15 years at Wilshire.,partly_wrong,2026-09-17,https://www.varetire.org/newsroom/news-releases/vrs-investment-return-2026.html,"VRS news release published 2026-09-17: 'Andrew Junkin, VRS' chief investment officer, said this year's results reflect an investment strategy rooted in diversification with a disciplined approach to risk management.' The live VRS leadership page read 2026-09-19 lists 'Andrew Junkin / Chief Investment Officer / ajunkin@varetire.org'. Seat is current. The join date is wrong: the VRS/PRNewswire appointment release of 2022-05-25 states 'Junkin will begin serving in the CIO role in September' and separately that 'current CIO Ron Schmitz will retire effective January 2023' — January 2023 is the predecessor's retirement date, not Junkin's start. Prior-career facts check out: the same release says 'he was with Wilshire Consulting for 15 years and served as president for the last five years,' and Rhode Island's own release of 2020-06-23 says he was hired 'effective June 22, 2020,' giving a Rhode Island tenure of about two years and three months before he left for VRS in September 2022.","Andrew Junkin is Chief Investment Officer of the Virginia Retirement System. He started in September 2022 (not January 2023, which was predecessor Ron Schmitz's retirement date). Before VRS he was CIO of Rhode Island for about two years (June 2020 to September 2022) and spent 15 years at Wilshire Consulting, the last five as president."
Virginia Retirement System,Chung Ma,Chung Ma is Deputy CIO and supports him.,confirmed,2026-08-12,https://www.varetire.org/media/members/pdf/board/materials/2026/iac-08-12-26.pdf,"VRS Investment Advisory Committee meeting materials for 2026-08-12 (posted 2026-08-25) carry an investment-staff table whose first row reads 'Chung Ma  Deputy CIO  MA  CFA  30  12' (highest degree MA, CFA, 30 years investment experience, 12 years VRS tenure). The same document's presenter slide reads 'Chung Ma / Deputy CIO' for the Forward Returns and Scenario Analysis section. He is listed among staff present alongside Andrew Junkin in the VRS IAC minutes of 2026-04-08. VRS's own 2026 wording is the abbreviated 'Deputy CIO'; his LinkedIn profile spells it 'Deputy Chief Investment Officer at VRS'.",—
Maryland State Retirement and Pension System,Steven Reynard,Steven Reynard is on the private-equity team.,not_found,2026-09-19,https://sra.maryland.gov/about/organizational-structure/,"The MSRPS Organizational Structure page (current as of 2026-09-19; it lists Investment Committee public member Sharcus Steen for the July 1, 2026-June 30, 2029 term, so it reflects mid-2026) names the entire senior Investment Division and contains no Reynard: 'Investment Division / Dianne Sandoval, CFA, Chief Investment Officer / Private Markets / Robert Burd, CFA, CAIA, Deputy Chief Investment Officer ... Private Equity / David Ferguson, CFA, Managing Director'. A person spelled 'Stephen Reynard' (not Steven) does appear at MSRPS, but only in undifferentiated agency-wide staff attendance lists in board and committee minutes: Investment Committee minutes of Dec 17 2024, Feb 25 2025 and Mar 25 2025, and the Board of Trustees open-session minutes of Oct 21 2025 (his newest appearance found). Those lists mix investment, finance, IT and legal staff and carry no titles, so they do not establish a team or a title. No MSRPS document, trade-press article or state directory found gives Stephen Reynard a title or assigns him to private equity; the site's own search returns 'Results 1 - 0 of 0' for Reynard, he is absent from the FY2025 ACFR and from the Maryland Manual agency staff listing, and he does not appear in the Jun 23 2026 or Jul 14 2026 board minutes attendance lists. A public LinkedIn profile headline surfaced in search reads 'Stephen Reynard - Senior Portfolio Manager' but LinkedIn returns HTTP 999 to direct fetch, so it could not be verified and is not used as evidence.","Do not name this person as private-equity coverage. MSRPS's private equity is led by David Ferguson, CFA, Managing Director, under Deputy CIO Robert Burd, CFA, CAIA (Private Markets). A 'Stephen Reynard' (that spelling, not 'Steven') appears in MSRPS staff attendance lists through October 2025, but no public source states his title or that he works on private equity."
Maryland State Retirement and Pension System,Dianne Sandoval,"Dianne Sandoval is CIO. Joined January 2026. Experience at HESTA, Saudi Arabia’s Public Investment Fund, and more than twelve years at CalPERS.",confirmed,2026-07-14,https://sra.maryland.gov/wp-content/uploads/2026/01/July-14-2026-Open-Session-Minutes.pdf,"Seat, current: MSRPS Board of Trustees open-session minutes of July 14, 2026 state '4. Chief Investment Officer's Report / Dianne Sandoval, Chief Investment Officer, reported a strong year-end...' and list her among staff present; the June 23, 2026 minutes likewise say 'Dianne Sandoval, Chief Investment Officer, reported that May was a strong month'. The MSRPS Organizational Structure page lists 'Dianne Sandoval, CFA, Chief Investment Officer'. Exact spelling used by the institution: 'Dianne Sandoval' (Dianne, two n's), with CFA. Start date: the MSRPS press release of November 21, 2025 says she 'will begin her tenure in January 2026'; board minutes show Robert Burd as Acting CIO through the December 16, 2025 meeting and Sandoval delivering the CIO report by June 2026, consistent with a January 2026 start. HESTA: the release says 'She currently serves as the head of portfolio design for HESTA, an Australian superannuation fund, which manages over $100 billion in assets'. CalPERS: 'she spent more than 12 years in a range of senior positions across asset allocation and strategy, private equity, and high yield/investment grade credit at CalPERS'. Sovereign wealth fund: the MSRPS release says only 'a large sovereign wealth fund' without naming it; Institutional Investor's November 21, 2025 article identifies it as Saudi Arabia's Public Investment Fund. Predecessor chain (independent of the claim): Andrew Palmer was CIO from 2015 and gave the CIO report through the April 15, 2025 board meeting; Robert Burd was appointed Acting CIO at the June 17, 2025 meeting and served through December 2025. Caveat, low materiality: the exact PIF identification rests on trade press, not on MSRPS's own wording.",—
Florida State Board of Administration,Ash Williams,Ash Williams is former CIO.,confirmed,2026-09-19,https://am.jpmorgan.com/us/en/asset-management/institutional/bios/ashbel-c-williams/,"J.P. Morgan Asset Management's bio page, live and fetched 2026-09-19, reads: ""Ashbel C. Williams is Vice Chair for J.P. Morgan Asset Management. Prior to joining J.P. Morgan Asset Management in 2022, Williams was Executive Director and Chief Investment Officer for the Florida State Board of Administration (SBA), with assets of over $250 billion."" He retired from the SBA effective 30 September 2021 (WFSU, 2021-10-21). His departure from the seat is independently confirmed as current: the SBA's own Investment Advisory Council materials for 30 March 2026 list ""Chris Spencer, Executive Director / Lamar Taylor, Chief Investment Officer"" with no Williams, and the SBA organizational chart live on sbafla.com in February 2026 shows the same two names. What he does now: Vice Chair, J.P. Morgan Asset Management, based in Tallahassee. NUANCE for the slide: his SBA title was Executive Director AND Chief Investment Officer, not CIO alone, so ""former CIO"" is accurate but understates the seat he held.",—
Florida State Board of Administration,Clark Griffith,Clark Griffith is a private-equity director covering funds.,not_found,undated,https://clay.earth/profile/clark-griffith,"No Florida SBA publication names Clark Griffith. The SBA's 30 March 2026 Investment Advisory Council materials (both the slide deck and the full posted materials, ~13,900 lines of extracted text) contain zero occurrences of ""Griffith"", and the SBA organizational chart that was live on sbafla.com in February 2026 names private-equity staff only down to ""Senior Investment Officer Private Equity - John Bradley"". The only sources that name him are undated LinkedIn-derived aggregators: clay.earth (""Senior Portfolio Manager for Private Equity at the State Board of Administration of Florida (SBA), a position he has held since August 2014""), theorg.com (""Clark Griffith: Senior Portfolio Manager - Private Equity"", page self-labelled ""Unverified""), datanyze and rocketreach. His own LinkedIn profile (https://www.linkedin.com/in/clark-griffith-cfa-cpa-3802953/) is login-gated and could not be read. THEREFORE: I could not confirm from any dated source that he holds a seat at Florida SBA today. Separately, every source found gives his title as Senior Portfolio Manager, not ""director"", and none of them states that his coverage is funds as opposed to co-investments or secondaries.","Could not be confirmed. Every source found (all undated, LinkedIn-derived) gives ""Senior Portfolio Manager, Private Equity, Florida State Board of Administration"" rather than ""director"", and none states a funds-specific remit. Verify directly with the SBA before putting this name on a slide."
Florida State Board of Administration,Wes Bradle,Wes Bradle is a private-equity director covering co-investments and secondaries.,partly_wrong,2026-09-19,https://ilpa.org/team/wesley-bradle/,"The ILPA member-profile page, live and fetched 2026-09-19 (identical content captured by the Wayback Machine on 2026-06-06), heads the page: ""Wesley Bradle / Senior Portfolio Manager / Head of PE Co-Investments / Florida State Board of Administration"", and the bio reads ""Wes Bradle is a Senior Portfolio Manager and Head of PE Co-Investments at the Florida State Board of Administration (FSBA). Mr. Bradle has sourced more than 300 co-investment opportunities since August 2023. He previously monitored 17 PE firms and 50 funds that represented more than $3.8 billion in committed capital. Prior to FSBA, he was an Investment Officer in Private Equity at CalPERS."" WHAT IS RIGHT: the institution, private equity, and co-investment coverage. WHAT IS WRONG: his title is Senior Portfolio Manager / Head of PE Co-Investments, not ""director"" - the SBA org chart uses ""Senior Investment Officer"", ""Senior Portfolio Manager"" and ""Portfolio Manager"" for its investment ranks. WHAT IS UNVERIFIED: secondaries. The bio's only secondaries reference is that he has spoken at the ""Carmo Private Markets Secondaries"" conference, which is a speaking venue, not a stated remit; the SBA's March 2026 IAC private-equity appendix does track Secondaries and Co-Investments as separate sub-strategies but never names who covers them. He is not named in the SBA's own March 2026 IAC materials or its org chart, which go down only to John Bradley, Senior Investment Officer - Private Equity.","Wes Bradle is Senior Portfolio Manager and Head of PE Co-Investments at the Florida State Board of Administration, covering private equity co-investments. (Secondaries coverage is not supported by any source found; drop it or verify it.)"
Florida State Board of Administration,Lamar Taylor,Lamar Taylor is CIO. Took the role March 2024 after a 25-year career at Florida SBA including as deputy general counsel.,partly_wrong,2026-03-30,https://www.sbafla.com/media/2g5lcpgl/combined-march-30-2026-iac-slides.pdf,"PIECE BY PIECE. (1) SEAT AND EXACT TITLE - CONFIRMED as Chief Investment Officer, and specifically NOT Executive Director & CIO. The SBA's own Investment Advisory Council materials for 30 March 2026, Item 2 Opening Remarks, list two separate people: ""Chris Spencer, Executive Director"" and ""Lamar Taylor, Chief Investment Officer"". The SBA organizational chart live on sbafla.com as of February 2026 shows the same split: ""Executive Director - Chris Spencer"" at the top, with ""Chief Investment Officer - Lamar Taylor"" and ""Deputy Executive Director - Paul Groom"" beneath. Taylor's ""Interim Executive Director & Chief Investment Officer"" title applied only from 2021 to 2024 and is not his title today. (2) MARCH 2024 - CONFIRMED by a primary government source: the Florida Governor's press release of 22 March 2024 states ""SBA Interim Executive Director and Chief Investment Officer Lamar Taylor will continue as the permanent SBA Chief Investment Officer""; the Cabinet confirmed Spencer as Executive Director on 26 March 2024. Markets Group's 2026 Elite Institutional CIOs profile independently states ""He assumed the CIO role in March 2024"". (3) DEPUTY GENERAL COUNSEL - CONFIRMED by two 2026 sources. Markets Group 2026: ""Since joining the SBA in 2002, Taylor has held a series of senior roles, including deputy general counsel, deputy executive director, chief operating and financial officer, and interim executive director and CIO from 2021 to 2024."" Milken Institute Global Conference 2026 speaker page lists the same prior roles. (4) 25-YEAR CAREER - WRONG. Both 2026 sources say he joined the SBA in 2002, which makes it about 22 years when he took the CIO role in March 2024 and about 24 years as of today; Markets Group describes it as ""more than two decades"", not 25 years.","Lamar Taylor is Chief Investment Officer of the Florida State Board of Administration. He was named permanent CIO in March 2024 after serving as interim Executive Director & CIO from 2021, capping a career at the SBA that began in 2002 and has included deputy general counsel, deputy executive director, and chief operating and financial officer. (Replace ""25-year career"" with ""more than two decades"" or ""since 2002"".)"
San Francisco City and County Employees' Retirement System (SFERS),Tanya Kemp,Tanya Kemp leads the private-equity team.,confirmed,2026-09-19,https://mysfers.org/about-sfers/staff/,"SFERS's live Staff page, fetched 2026-09-19 (HTTP 200, server date Fri, 18 Sep 2026 21:19:03 GMT), lists under Senior Management Team: 'Tanya Kemp, Managing Director-Private Markets'. Her exact current title is Managing Director, Private Markets - a remit broader than private equity alone (private equity, private credit and real assets all sit under Private Markets; separate Managing Directors cover Public Markets (vacant), Absolute Return (David Francl) and Asset Allocation/Risk (Anna Langs)). Private equity is still her coverage: she is the author of record on the SFERS Private Equity Annual Update board memo ('From: Tanya Kemp, CFA, CAIA / Managing Director, Private Markets'), and the SFERS 2025 Annual Report presented to the Retirement Board on 2026-03-11 shows her on the organizational chart as 'Managing Director, Private Markets' reporting to the CEO & CIO. No source found indicating a change of role or departure.",—
San Francisco City and County Employees' Retirement System (SFERS),Justin Lo,Justin Lo supports her.,not_found,2025-09-10,https://cdn.mysfers.org/uploads/2025/09/091025-10-SFERS-Private-Equity-Update.pdf,"The newest primary evidence is from 2025-09-10, not 2026. The SFERS Private Equity Annual Update board memo for the September 10, 2025 Retirement Board meeting carries the sender block: 'From: Tanya Kemp, CFA, CAIA / Managing Director, Private Markets / Edward Comerford, CFA  Justin Lo, CFA / Director, Private Equity  Director, Private Equity', and its team slide reads 'Tanya Kemp, CFA, CAIA, Managing Director of Private Markets ... Edward Comerford, CFA, Director  Justin Lo, CFA, Director / Rishi Garbharran, CFA, Director  Jiada Tu, Associate Portfolio Manager'. So as of 2025-09-10 he was one of three Directors of Private Equity under Kemp, not a junior support person. No 2026 source could be found that names him: SFERS's live Staff page (read 2026-09-19) lists only the Executive Team and Senior Management Team and does not go down to Director level, so his absence there is not evidence of departure; the 2026 Retirement Board and Investment Committee minutes do not name investment staff below the CEO/CIO, COO and General Counsel; and the September 9, 2026 board packet item '090926-10 Private Equity Annual Update' (which would settle it) is not publicly retrievable - only the agenda PDF is posted, and the underlying staff memorandum is neither linked from the meeting page nor indexed. No 2026 trade-press item reports him joining or leaving, and the SFERS jobs page (read 2026-09-19) lists no private-equity vacancy - both are weak negative signals, not confirmation. LinkedIn shows the headline 'Justin Lo, CFA - Private Equity Director at San Francisco Employees' Retirement System' but the position dates sit behind the login wall and the headline is undated, so it cannot carry a 2026 as_of.","Do not assert Justin Lo's 2026 seat from public sources. The last verified statement is: 'Justin Lo, CFA, Director, Private Equity' at SFERS as of September 10, 2025, one of three Private Equity Directors reporting to Tanya Kemp, Managing Director, Private Markets. If the slide must name him, date it or confirm directly with SFERS."
